index,chamfer,mse,psnr,ssim
0,0.0006816486977622845,0.04231065659224987,14.084888172149657,0.7626186919212341
1,0.0007498703058809042,0.0406728307902813,14.268202754974364,0.7747862017154694
2,0.000981369090382941,0.04045580291002989,14.293659786224366,0.782589184999466
3,0.0006632721045170911,0.04265430678427219,14.072434822082519,0.7794841589927674
4,0.0008966221869923175,0.04276277109235525,14.073843700408936,0.7942622978687286
5,0.0009375481052557006,0.04280869946628809,14.072435562133789,0.797552726984024
6,0.0006937069871928543,0.04434859865158796,13.91450624847412,0.796831782579422
7,0.0005303666392574087,0.04545211081951857,13.823167320251464,0.7983221800327301
8,0.0005177533568930812,0.04474988702684641,13.893366706848145,0.7936412615776062
9,0.0005607423014589585,0.045442567743360994,13.828775211334229,0.7972461726665497
10,0.0006662763169733807,0.045526907160878184,13.812412502288819,0.7974098246097565
11,0.0006075431195786223,0.04637428482621908,13.732252777099609,0.8033243532180786
12,0.0004953432306356262,0.04634580886363983,13.738542068481445,0.8008993134498597
13,0.0006030007974186447,0.04606086395680904,13.75857926940918,0.8007073163986206
14,0.0005183955272950697,0.04673928358405829,13.696342552185058,0.794478435754776
15,0.0005872508785687387,0.04521969255059957,13.84941204071045,0.7986081519126892
16,0.0005750138318981044,0.04730303834378719,13.644633678436279,0.7996656157970429
17,0.0006728742833947762,0.04708540167659521,13.659937171936035,0.7917462232112884
18,0.0006630840743309818,0.04623140276968479,13.746644512176514,0.7947669427394867
19,0.0005871260044223163,0.04642342876642942,13.722149787902833,0.7952290921211242
