index,chamfer,mse,psnr,ssim
0,0.00031850387004669754,0.07985719591379166,11.304675621032715,0.6999560198783874
1,0.00031058734696125614,0.0766478585600853,11.485657886505127,0.65785036444664
2,0.0002821081337169744,0.07192256991565228,11.779771907806396,0.6907565834522247
3,0.0002626371895312332,0.07148602136969566,11.810644844055176,0.6954799363613129
4,0.00024138513489742764,0.06488627944886684,12.26063631439209,0.7360525114536285
5,0.00025134030223125593,0.06802900670468807,12.054420040130616,0.7160020790100098
6,0.000227240328094922,0.060121582254767415,12.585180938720702,0.7400719883441925
7,0.0002416090965270996,0.05985756945610046,12.609459972381591,0.7384918942451477
8,0.0002222991140151862,0.06241672393679619,12.426491249084473,0.7367020161151886
9,0.00022742520112660713,0.0638151533305645,12.325166038513183,0.6830028531551361
10,0.00022646995494142176,0.06390318082273007,12.32691633605957,0.7417832906246186
11,0.0002183220564329531,0.06098466263711452,12.528845867156983,0.7217870063781738
12,0.0002206327558378689,0.06114919623732567,12.515107509613037,0.7462710013389587
13,0.00023371189698809757,0.06496742153167724,12.244366115570068,0.7332070722579956
14,0.00022385795827722176,0.06253815600275993,12.412815593719483,0.7293121256828308
15,0.00021559271382284352,0.06181233111023903,12.471817958831787,0.7404146256446839
16,0.00022072896559257061,0.06241862684488297,12.425697689056397,0.7415950949192047
17,0.00021846248998190276,0.06226169210672378,12.445446113586426,0.7567499935626983
18,0.00022490478001418524,0.06045640291273594,12.527546382904053,0.7174209961891175
19,0.0002255919144663494,0.06363127744197845,12.34312748336792,0.7512407064437866
20,0.00023649646496050992,0.06040575343370438,12.543348575592042,0.7161552262306213
21,0.00024218382389517502,0.06858006703853607,12.024411102294922,0.7327480800151825
22,0.000231347596651176,0.06626860724389554,12.161463634490968,0.7210426042079926
23,0.00023743621257017367,0.06751327829062939,12.079715938568116,0.7077016599178314
24,0.00023138521815417335,0.06451414063572884,12.27711143875122,0.7260694198608398
25,0.00023661190789425746,0.06213442286849022,12.433631477355958,0.746203262090683
26,0.00022993007037439383,0.06771769800782204,12.083570796966553,0.7322017166614533
27,0.00022857813103473746,0.06596952253580093,12.17135994720459,0.6891795828342437
28,0.0002573147797957063,0.06769554863870143,12.05132349395752,0.6801597151756287
29,0.00024229661194840447,0.06750538143515587,12.065251094818116,0.668958734035492
