index,chamfer,mse,psnr,ssim
0,0.00013833937539311592,0.04185731441527605,14.162248317718506,0.8069812054634095
1,0.00014453224453609437,0.040931704074144364,14.27373288345337,0.8113215963840484
2,0.00012798742928134743,0.04100950369238853,14.285797008514404,0.8231385524272918
3,0.0001237475351372268,0.04142191123962402,14.258501087188721,0.8221551854610443
4,0.00011963242224010174,0.04120290150493383,14.279437488555908,0.8223664438724518
5,0.00012060712420498021,0.04084542987495661,14.323484897613525,0.8251429698467254
6,0.00011860472203989047,0.04161025173217058,14.247262256622314,0.8093015472888947
7,0.00011981908495363314,0.04015258637070656,14.40510976791382,0.8259926557540893
8,0.00011517567677947227,0.04005148520320654,14.410783264160155,0.8248738903999329
9,0.00010952406159776728,0.041135221011936667,14.305897369384766,0.8010169870853424
10,0.00011331405700184405,0.041624035701155665,14.246483291625976,0.8212967529296875
11,0.00010724841359478887,0.04094697255641222,14.294746982574463,0.8132254552841186
12,0.00011372481005673763,0.0418248502984643,14.22466187286377,0.8279147856235504
13,0.00011541464057518169,0.04065767178684473,14.345126781463623,0.8347201678752899
14,0.00011330873423139565,0.04106167373806238,14.306985862731933,0.8341388673782348
15,0.00011844918465067167,0.04061508196592331,14.34558353805542,0.8368527500629425
16,0.00010948603102588095,0.04191770159453154,14.218272220611572,0.8323939945697785
17,0.00010891170137620065,0.042476205170154574,14.165868297576905,0.8299239602088928
18,0.00010870569098915439,0.04269716183841228,14.13962216949463,0.8264986588954926
19,0.00011284584907116369,0.04105058761686087,14.296597751617432,0.8356267991065979
