index,chamfer,mse,psnr,ssim
605,0.00011322917271172628,0.0516238659620285,13.245320796966553,0.663257360458374
606,0.0001133568657678552,0.05182880349457264,13.228880405426025,0.6650488674640656
607,0.00011358171468600631,0.051710132509469986,13.238575458526611,0.6627819538116455
608,0.00011369330240995623,0.05143466033041477,13.261301040649414,0.6623453497886658
609,0.00011417338828323409,0.05216451361775398,13.197684288024902,0.6586707532405853
610,0.00011415910557843745,0.05230828747153282,13.185356140136719,0.6564313173294067
611,0.00011440432717790827,0.052141422405838966,13.19905138015747,0.6506767868995667
612,0.00011378450290067121,0.051960574463009834,13.215710639953613,0.6607929766178131
613,0.000113259502541041,0.05136097967624664,13.269426822662354,0.6767569780349731
614,0.00011268919115536846,0.05143764801323414,13.263883113861084,0.6825005114078522
615,0.0001124523114413023,0.05129014886915684,13.27687406539917,0.6824444234371185
616,0.00011292004637653008,0.05099982023239136,13.302006244659424,0.6815510094165802
617,0.0001135464190156199,0.050986504182219505,13.302781105041504,0.6798011660575867
618,0.00011302228449494578,0.05171981453895569,13.238668441772461,0.6746250987052917
619,0.000113330090243835,0.05200469493865967,13.211661338806152,0.6672794222831726
620,0.00011340200580889359,0.05155009776353836,13.248907566070557,0.6642681062221527
621,0.00011379919305909425,0.051671192049980164,13.238418579101562,0.6622261703014374
622,0.00011347898180247284,0.051901718601584435,13.220629692077637,0.6673054397106171
623,0.00011312100104987621,0.05168952979147434,13.241381645202637,0.6776701211929321
624,0.00011296711454633623,0.05096070654690266,13.30590534210205,0.6873114109039307
625,0.00011284527136012912,0.05081929638981819,13.319190979003906,0.690658450126648
626,0.00011282379637123086,0.05096070282161236,13.307287216186523,0.6910923719406128
627,0.00011292722047073767,0.05129079148173332,13.277550220489502,0.684447854757309
628,0.00011316985910525545,0.0513300746679306,13.273258209228516,0.6808166801929474
629,0.00011327815445838496,0.05127363093197346,13.277516841888428,0.6782614588737488
630,0.00011275452925474383,0.051025811582803726,13.300311088562012,0.6872991621494293
631,0.00011252770491410047,0.0508685614913702,13.315605163574219,0.6965925693511963
632,0.00011301686754450202,0.05052709951996803,13.346685409545898,0.7035955786705017
633,0.00011351786815794185,0.05037843994796276,13.360509395599365,0.7071213722229004
634,0.00011355792958056554,0.0502955187112093,13.367652416229248,0.7062020003795624
635,0.00011313657887512818,0.05052458867430687,13.346275329589844,0.7012671232223511
636,0.000113003930891864,0.05102916248142719,13.300225734710693,0.690048336982727
637,0.00011359047130099498,0.051205502822995186,13.28273344039917,0.6778255999088287
638,0.00011399057621019892,0.05102014169096947,13.298913478851318,0.6786643862724304
639,0.00011371410437277518,0.051062215119600296,13.296345233917236,0.685923844575882
640,0.00011316660311422311,0.05102062411606312,13.300981521606445,0.6932680308818817
641,0.00011281411934760399,0.050911348313093185,13.311910152435303,0.7010382413864136
642,0.0001134348385676276,0.05036360211670399,13.360227108001709,0.7046553194522858
643,0.00011410696606617421,0.050232356414198875,13.371646881103516,0.7020412981510162
644,0.0001134472076955717,0.050580600276589394,13.340511798858643,0.6982500851154327
645,0.00011300210826448165,0.05091463215649128,13.31120491027832,0.6954642534255981
646,0.00011339883712935261,0.05061129294335842,13.337796211242676,0.69674351811409
647,0.00011417203495511785,0.050455117598176,13.351395606994629,0.6940428018569946
648,0.00011353521404089406,0.050539860501885414,13.344165325164795,0.6980431973934174
649,0.00011269683454884216,0.050695426762104034,13.33048963546753,0.7008909285068512
650,0.00011251934483880177,0.05072189122438431,13.327784061431885,0.7015233039855957
651,0.00011322775389999151,0.05053296685218811,13.344034671783447,0.6990251243114471
652,0.00011358330812072381,0.05052209831774235,13.34470796585083,0.6951623260974884
653,0.000113031426735688,0.050977952778339386,13.304172039031982,0.6890981197357178
654,0.00011333570000715554,0.05121549032628536,13.282575130462646,0.6828131079673767
655,0.00011360891221556813,0.05096624046564102,13.303421974182129,0.6801855266094208
656,0.00011442176037235186,0.05073930509388447,13.323726177215576,0.6840085387229919
657,0.0001131919416366145,0.05076904781162739,13.322636604309082,0.6930873990058899
658,0.00011251406613155268,0.0508553571999073,13.316315650939941,0.7003985941410065
659,0.00011284315405646339,0.05064994469285011,13.3339204788208,0.7021642625331879
660,0.00011343164442223497,0.050369273871183395,13.358503341674805,0.701257973909378
661,0.00011375999019946903,0.05048451013863087,13.348016262054443,0.6958966553211212
662,0.0001135244601755403,0.05077701807022095,13.322376728057861,0.6923212707042694
663,0.00011332698340993375,0.050850339233875275,13.3165283203125,0.694229245185852
664,0.00011329513654345647,0.05080792121589184,13.320023536682129,0.6948475539684296
665,0.00011317040844005533,0.050848038867115974,13.31613826751709,0.6929839551448822
666,0.00011333415750414133,0.05079594627022743,13.321033000946045,0.6946934163570404
667,0.00011369099593139254,0.05069434829056263,13.330231189727783,0.6960974931716919
668,0.00011367544720997103,0.050740716978907585,13.326194286346436,0.6965861916542053
