index,chamfer,mse,psnr,ssim
0,0.00024378098896704614,0.05986129865050316,12.45461654663086,0.7638875246047974
1,0.0001913064334075898,0.04636416584253311,14.28829574584961,0.8249374628067017
2,0.00022843688202556223,0.050945721566677094,13.0783052444458,0.745686948299408
3,0.00025530741550028324,0.05152164772152901,13.112082481384277,0.7754358649253845
4,0.0002725243102759123,0.05744531750679016,12.61606216430664,0.7342817187309265
5,0.00021060695871710777,0.04633055627346039,13.550871849060059,0.7738400101661682
6,0.00022895890288054943,0.0568385124206543,12.9470853805542,0.7656418681144714
7,0.00022511565475724638,0.05999624729156494,12.419133186340332,0.7441047430038452
8,0.00034341769060119987,0.06277116388082504,12.249161720275879,0.7057896852493286
9,0.0003011180670000613,0.05342106148600578,13.012052536010742,0.7634212970733643
10,0.00048140433500520885,0.07281015813350677,11.650789260864258,0.6764063835144043
11,0.0005021605174988508,0.05638409033417702,12.597140312194824,0.7417157292366028
12,0.0002091926580760628,0.05490543320775032,13.283486366271973,0.743766725063324
13,0.0003997547901235521,0.06116890907287598,12.32508373260498,0.7078050374984741
14,0.00033507030457258224,0.047466304153203964,13.763031005859375,0.7699421048164368
15,0.00018076811102218926,0.06075862795114517,12.365198135375977,0.755132257938385
16,0.000251010904321447,0.053066857159137726,12.958627700805664,0.7801272869110107
17,0.0003119000466540456,0.07019016891717911,11.806084632873535,0.6839989423751831
18,0.00027659506304189563,0.053488485515117645,13.199385643005371,0.7482878565788269
19,0.00036411461769603193,0.06933458149433136,11.797829627990723,0.6288737058639526
20,0.00022642681142315269,0.05249731242656708,12.921143531799316,0.7600544691085815
21,0.0002487004967406392,0.055987365543842316,12.770282745361328,0.7478920817375183
22,0.00036919969716109335,0.06340497732162476,12.073458671569824,0.6729258894920349
23,0.0003188340924680233,0.06862057000398636,11.904470443725586,0.7229045629501343
24,0.0004106749256607145,0.07353772968053818,11.452959060668945,0.7006887793540955
25,0.0002910990151576698,0.05273030325770378,13.125466346740723,0.7537418603897095
26,0.00028345509781502187,0.06546162068843842,12.13254451751709,0.7318127751350403
27,0.0002569408970884979,0.06100219115614891,12.62585735321045,0.752925455570221
28,0.0002522129216231406,0.06362729519605637,12.008574485778809,0.7330412864685059
29,0.0001960787340067327,0.04838905483484268,13.523726463317871,0.7766479253768921
